Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1463604593,1.19734,1.02188,-1.25582,1.15709,4.40098,-0.297701,1.06545,2.77253
1463604595,1.01654,1.15868,-1.74857,1.55545,3.98844,-0.63221,0.910398,2.14043
1463604597,1.54613,0.765131,-2.00036,0.761534,4.35893,-0.0911032,1.14848,2.93128
1463604599,1.77087,1.48347,-1.73296,1.22108,3.98184,-0.43161,1.49556,3.58317
1463604601,1.39179,0.557917,-1.27548,1.20684,4.44465,-0.390061,0.695528,2.4883
1463604603,1.99435,0.494123,-1.42478,1.72132,3.8809,0.172333,0.231279,2.41409
1463604605,1.49037,0.687158,-1.28864,0.968487,4.46627,-0.084223,0.425437,1.45622
1463604607,1.74499,0.756335,-1.07793,1.40685,4.36663,-0.264513,1.01369,1.83649
1463604609,2.56079,0.938734,-0.354552,1.07489,5.13898,0.785979,0.892064,1.19821
1463604611,2.44842,1.1832,-0.793686,1.56338,5.85627,2.18088,1.00189,1.46913
1463604613,3.00344,1.4949,-1.24901,0.908281,6.60483,2.05045,0.399541,2.6197
1463604615,3.19941,1.90812,-0.588413,1.18076,6.45869,2.46679,0.840222,2.50876
1463604617,2.31271,1.54396,-1.31845,1.12948,6.1617,2.7697,0.881327,2.26124
1463604619,1.58438,1.31245,-1.03358,1.14964,6.19013,2.88366,0.931339,1.30596
1463604621,1.77684,0.595054,-1.74785,1.79306,6.30467,3.61266,0.496882,0.833182
1463604623,1.51243,0.766526,-1.3208,1.9973,6.55058,4.36173,1.7605,2.37226
1463604625,1.14286,0.832188,-0.571301,1.42268,6.80295,5.13944,1.37548,2.45099
1463604627,1.6471,0.178949,0.276379,1.6056,7.31536,5.73937,1.31004,2.16498
1463604629,0.717292,0.0399051,-0.0334541,1.32109,6.83871,5.70203,1.41829,1.88624
1463604631,0.984106,-0.530045,-0.911473,1.09123,6.05866,4.94835,1.70204,2.69996
1463604633,0.578626,-0.42876,-0.544896,1.15294,5.65488,4.60862,1.61287,2.66562
1463604635,0.833442,-0.418499,-0.554998,1.32899,5.68896,4.59097,1.14,3.28007
1463604637,0.918593,0.219932,-0.455736,1.37042,5.2439,4.53172,1.86804,1.62394
1463604639,0.706752,-0.537588,-0.574906,1.0799,5.44057,4.10011,1.70265,3.05048
1463604641,0.78202,-0.588497,-0.593513,0.294505,5.18889,3.49475,1.6988,2.70021
1463604643,0.480054,-0.255051,-0.162802,1.25857,4.88069,3.03946,1.71805,2.28208
1463604645,0.978005,-0.0614932,-0.316855,0.28479,3.99542,2.41967,1.48296,2.99001
1463604647,1.0187,0.117685,-0.472007,0.616536,3.64645,2.2288,1.16049,2.30258
1463604649,0.648254,-0.254758,-0.615347,0.529708,3.42998,1.86435,0.645762,2.25427
1463604651,0.641778,0.341883,-1.06151,1.02574,3.03692,1.5702,0.139265,1.8381
1463604653,1.46045,0.567352,-0.42113,1.00432,3.35115,1.61504,0.608034,1.78318
1463604655,1.27682,0.243108,-0.467618,0.645353,3.30303,1.98774,0.559672,2.42565
1463604657,0.860245,-0.24708,-0.854409,0.263599,3.22935,1.68532,1.1492,2.53102
1463604659,1.19881,0.342191,-0.936478,0.396624,3.29594,1.22648,0.924144,3.66591
1463604661,1.51534,0.523695,-0.846175,1.24635,3.03625,1.58287,0.817443,2.96149
1463604663,1.34936,0.585955,-0.554056,1.43696,3.16621,1.86018,1.05391,2.84877
1463604665,1.58078,0.79285,-1.07793,1.38807,4.10465,1.46224,1.35561,2.28161
